Company Name,Title,Location,Stipend
Relinns Technologies,Human Resources (HR),Delhi,"₹ 8,000 /month"
Jarvics Technologies,Human Resources (HR),Gurgaon,"₹ 7,000-12,000 /month"
Asthra Projects Group,Business Development (Sales),Hyderabad,"₹ 5,000 /month"
Petrichor Investment Private Limited,Statistics,Bangalore,"₹ 10,000 /month"
Binary Numbers,Content Writing,Mumbai,"₹ 10,000-15,000 /month"
Sulopa Technologies Private Limited,Inside Sales,Dahisar,"₹ 8,000-10,000 /month"
The Overseas Consultant,Student Counseling,Mumbai,"₹ 5,000-7,000 /month"
Able Jobs,E-Commerce Marketing,Boriwali,"₹ 20,000 /month"
Able Jobs,Customer Service/Customer Support,Bandra,"₹ 12,000-15,000 /month"
One Root,Business Development (Spoken Hindi Must),Mahalaxmi,"₹ 8,000-10,000 /month"
FynTune Solution Private Limited,Human Resources (HR),Hyderabad,"₹ 12,000-18,000 /month"
IQOL Technologies,Real Estate Investment Advisory/Management,Delhi,"₹ 20,000 /month +  Incentives"
United9 Entertainment,Marketing,Mumbai,"₹ 5,000 /month"
Breathe ESG,Corporate Sales,Gurgaon,"₹ 10,000-15,000 /month"
WEMATTER PXT Limited,Lead Generation,Bangalore,"₹ 15,000 /month"
Honey Translation Services,Accounting,Bangalore,"₹ 5,000 /month"
DataTrained Education Private Limited,Social Media Marketing,Bangalore,"₹ 10,000 /month"
Antino Labs Private Limited,Graphic Design,Mohali,"₹ 15,000 /month"
XpertHunt,Investment Banker,Chandigarh,"₹ 20,000-40,000 /month"
